選手名,チーム,登板,勝利,敗戦,セーブ,ＨＰ,防御率,奪三振,勝率,投球回
赤木 晴哉,広島,6,0,0,0,0,6.75,3,0,6.2
遠藤 淳志,広島,24,0,1,0,8,2.19,26,0,24.2
大瀬良 大地,広島,2,0,2,0,0,9.82,4,0,7.1
岡本 駿,広島,13,6,4,0,0,2.68,63,0.6,74
栗林 良吏,広島,7,4,2,0,0,1.15,43,0.667,47
黒原 拓未,広島,3,0,0,0,0,19.29,5,0,2.1
齊藤 汰直,広島,10,0,1,0,1,9.31,5,0,9.2
斉藤 優汰,広島,1,0,1,0,0,1.8,5,0,5
島内 颯太郎,広島,5,0,1,0,1,8.31,4,0,4.1
鈴木 健矢,広島,17,0,1,0,0,3.47,9,0,23.1
ターノック,広島,9,0,4,0,0,4.01,42,0,42.2
髙 太一,広島,27,0,2,0,13,2.63,22,0,24
玉村 昇悟,広島,8,1,3,0,0,2.3,31,0.25,47
辻 大雅,広島,15,1,1,0,3,4.91,18,0.5,14.2
常廣 羽也斗,広島,5,0,0,0,0,0,4,0,5
床田 寛樹,広島,12,3,2,0,0,2.54,50,0.6,74.1
中﨑 翔太,広島,26,1,4,6,7,2.96,20,0.2,24.1
ハーン,広島,29,2,1,1,23,0.98,36,0.667,27.2
塹江 敦哉,広島,19,1,2,0,1,3,23,0.333,21
益田 武尚,広島,11,0,0,0,0,5.84,9,0,12.1
森 翔平,広島,5,0,0,0,0,2.3,19,0,27.1
森浦 大輔,広島,28,3,2,9,9,3.04,30,0.6,26.2
森下 暢仁,広島,12,5,5,0,0,4.19,57,0.5,66.2
アブレウ,中日,3,1,0,0,1,15.43,1,1,2.1
伊藤 茉央,中日,10,0,1,0,0,1.08,6,0,8.1
梅野 雄吾,中日,2,0,0,0,0,15.43,3,0,2.1
大野 雄大,中日,11,5,4,0,0,2.1,53,0.556,73
勝野 昌慶,中日,7,0,2,0,0,9.53,9,0,5.2
金丸 夢斗,中日,13,5,5,0,0,2.62,68,0.5,82.1
草加 勝,中日,6,0,1,0,1,1.42,7,0,6.1
近藤 廉,中日,3,0,0,0,0,8.1,3,0,3.1
齋藤 綱記,中日,29,1,2,0,6,3.52,28,0.333,23
櫻井 頼之介,中日,10,2,4,0,0,5.66,52,0.333,47.2
篠﨑 国忠,中日,3,0,0,0,0,3.38,3,0,2.2
清水 達也,中日,4,0,0,0,0,13.5,3,0,3.1
杉浦 稔大,中日,11,1,2,0,5,6.52,9,0.333,9.2
髙橋 宏斗,中日,9,1,6,0,0,4.86,58,0.143,53.2
仲地 礼亜,中日,4,0,0,0,0,10.29,8,0,7
中西 聖輝,中日,5,1,2,0,0,5.06,30,0.333,26.2
根尾 昂,中日,9,1,1,0,1,5,13,0.5,9
橋本 侑樹,中日,16,0,0,0,9,1.13,17,0,16
福 敬登,中日,3,0,0,0,0,3.86,2,0,2.1
藤嶋 健人,中日,30,1,2,0,8,1.93,21,0.333,28
マラー,中日,9,2,4,0,0,2.84,45,0.333,57
牧野 憲伸,中日,19,0,3,0,2,3.86,8,0,14
松葉 貴大,中日,1,0,0,0,0,3.6,1,0,5
松山 晋也,中日,20,1,2,12,3,1.93,19,0.333,18.2
メヒア,中日,18,0,1,0,4,3.18,13,0,17
柳 裕也,中日,13,4,2,0,0,2.31,76,0.667,81.2
吉田 聖弥,中日,24,0,1,0,10,0.79,24,0,22.2
涌井 秀章,中日,2,0,0,0,0,5.4,8,0,10
飯田 琉斗,ヤクルト,1,0,0,0,0,9,0,0,1
石原 勇輝,ヤクルト,1,0,1,0,0,3,1,0,3
ウォルターズ,ヤクルト,2,0,2,0,0,10.8,7,0,8.1
オスナ,ヤクルト,1,0,0,0,0,0,0,0,0.2
大西 広樹,ヤクルト,5,0,0,0,2,12.27,1,0,3.2
大道 温貴,ヤクルト,1,0,0,0,0,16.2,1,0,1.2
小川 泰弘,ヤクルト,7,1,4,0,0,5.45,27,0.2,38
奥川 恭伸,ヤクルト,10,3,5,0,0,2.71,52,0.375,66.1
キハダ,ヤクルト,28,2,3,18,3,2.36,41,0.4,26.2
木澤 尚文,ヤクルト,11,0,0,0,3,2.79,5,0,9.2
小澤 怜史,ヤクルト,8,0,0,0,0,1.35,15,0,13.1
阪口 皓亮,ヤクルト,10,0,0,0,1,1.04,7,0,8.2
清水 昇,ヤクルト,22,1,0,1,10,0.92,19,1,19.2
下川 隼佑,ヤクルト,1,0,1,0,0,6.23,2,0,4.1
荘司 宏太,ヤクルト,20,3,0,0,6,5.79,28,1,18.2
高梨 裕稔,ヤクルト,10,5,2,0,0,2.73,52,0.714,59.1
高橋 奎二,ヤクルト,5,1,3,0,0,3.25,28,0.25,27.2
拓也,ヤクルト,7,0,0,0,0,13.5,6,0,6.2
田口 麗斗,ヤクルト,10,1,0,0,2,4.09,10,1,11
廣澤 優,ヤクルト,22,2,1,0,4,3.57,20,0.667,22.2
星 知弥,ヤクルト,28,1,1,1,19,1.98,22,0.5,27.1
増居 翔太,ヤクルト,2,1,0,0,1,1.5,7,1,6
松本 健吾,ヤクルト,11,5,1,0,1,2.52,55,0.833,60.2
丸山 翔大,ヤクルト,18,0,0,0,2,2.45,22,0,18.1
山野 太一,ヤクルト,13,7,2,0,0,2.08,73,0.778,82.1
吉村 貢司郎,ヤクルト,10,4,5,0,0,3.74,38,0.444,55.1
リランソ,ヤクルト,14,1,0,0,7,0,19,1,13.1
アルメンタ,ソフトバンク,2,0,2,0,0,13.5,5,0,4.2
伊藤 優輔,ソフトバンク,18,1,0,0,1,1.8,13,1,20
稲川 竜汰,ソフトバンク,1,0,0,0,0,13.5,0,0,0.2
岩井 俊介,ソフトバンク,1,0,0,0,0,0,1,0,1.1
上沢 直之,ソフトバンク,10,4,3,0,0,2.54,51,0.571,60.1
オスナ,ソフトバンク,23,0,1,0,12,0.78,24,0,23
大江 竜聖,ソフトバンク,3,0,0,0,0,0,3,0,3
大関 友久,ソフトバンク,8,2,4,0,0,5.55,28,0.333,47
大竹 風雅,ソフトバンク,2,0,0,0,0,0,1,0,3
大津 亮介,ソフトバンク,11,7,2,0,0,1.77,70,0.778,76.1
大野 稼頭央,ソフトバンク,4,0,0,0,0,5.63,5,0,8
大山 凌,ソフトバンク,2,0,0,0,0,18,1,0,1
尾形 崇斗,ソフトバンク,10,0,2,0,0,3,19,0,12
上茶谷 大河,ソフトバンク,25,4,0,1,14,2.35,23,1,30.2
木村 光,ソフトバンク,27,3,0,0,13,2.13,16,1,25.1
徐 若熙,ソフトバンク,6,2,3,0,0,4.99,28,0.4,30.2
スチュワート・ジュニア,ソフトバンク,9,4,3,0,0,5.66,40,0.571,41.1
杉山 一樹,ソフトバンク,24,0,1,13,2,2.78,40,0,22.2
鈴木 豪太,ソフトバンク,16,1,0,0,2,2.31,21,1,23.1
津森 宥紀,ソフトバンク,24,2,0,0,6,1.61,17,1,22.1
中村 稔弥,ソフトバンク,3,0,0,0,0,5.4,4,0,5
藤原 大翔,ソフトバンク,2,0,2,0,0,9.45,5,0,6.2
ヘルナンデス,ソフトバンク,24,0,0,0,10,1.19,31,0,22.2
前田 純,ソフトバンク,4,1,1,0,0,3.48,20,0.5,20.2
前田 悠伍,ソフトバンク,7,5,0,0,0,2.19,31,1,37
松本 晴,ソフトバンク,11,4,2,0,0,3.88,68,0.667,60.1
松本 裕樹,ソフトバンク,25,2,2,4,12,2.19,21,0.5,24.2
有原 航平,日本ハム,6,1,5,0,0,7.34,23,0.167,34.1
池田 隆英,日本ハム,6,0,0,0,0,7.94,6,0,5.2
伊藤 大海,日本ハム,14,8,3,0,0,2.86,88,0.727,94.1
上原 健太,日本ハム,19,1,3,0,7,4.58,17,0.25,17.2
大川 慈英,日本ハム,2,0,0,0,0,27,0,0,0.2
加藤 貴之,日本ハム,11,7,1,0,0,2.88,28,0.875,59.1
金村 尚真,日本ハム,1,0,0,0,0,6,2,0,3
河野 竜生,日本ハム,5,0,0,0,0,0,3,0,3.2
菊地 大稀,日本ハム,6,0,0,1,0,4.26,6,0,6.1
北山 亘基,日本ハム,13,8,2,0,0,1.98,81,0.8,86.1
畔柳 亨丞,日本ハム,6,0,0,0,2,1.29,7,0,7
古林 睿煬,日本ハム,7,0,1,0,1,7.5,15,0,12
齋藤 友貴哉,日本ハム,13,0,1,0,2,7.36,7,0,11
柴田 獅子,日本ハム,2,0,1,0,0,2.84,8,0,6.1
島本 浩也,日本ハム,28,2,0,2,17,0.78,12,1,23
清水 大暉,日本ハム,2,0,0,0,0,10.8,1,0,1.2
孫 易磊,日本ハム,2,1,1,0,0,3.6,12,0.5,10
達 孝太,日本ハム,14,2,6,2,3,3.82,55,0.25,63.2
田中 正義,日本ハム,26,1,2,0,18,2.42,27,0.333,26
玉井 大翔,日本ハム,12,1,0,0,2,2.79,3,1,9.2
生田目 翼,日本ハム,6,0,0,0,0,8.1,4,0,6.2
福島 蓮,日本ハム,8,3,2,0,0,2.26,50,0.6,51.2
福谷 浩司,日本ハム,12,0,1,0,1,4.26,6,0,12.2
細野 晴希,日本ハム,8,2,4,0,0,3.06,60,0.333,50
堀 瑞輝,日本ハム,13,2,0,0,7,1.74,12,1,10.1
矢澤 宏太,日本ハム,1,0,0,0,0,0,0,0,0.1
柳川 大晟,日本ハム,28,2,0,19,3,2.67,31,1,27
山﨑 福也,日本ハム,9,1,0,0,0,2.5,9,1,18
山本 拓実,日本ハム,15,1,0,1,3,4.91,14,1,14.2
伊藤 樹,楽天,1,0,0,0,0,18,3,0,2
ウレーニャ,楽天,8,2,2,0,0,3.49,29,0.5,38.2
内 星龍,楽天,22,0,2,0,4,5.53,22,0,27.2
江原 雅裕,楽天,1,0,0,0,0,4.5,3,0,2
加治屋 蓮,楽天,29,2,2,0,12,3.67,25,0.5,27
岸 孝之,楽天,4,2,2,0,0,2.63,18,0.5,24
九谷 瑠,楽天,16,0,0,0,1,1.35,15,0,20
古賀 康誠,楽天,1,0,0,0,0,18,1,0,1
古謝 樹,楽天,10,1,5,0,0,4.02,46,0.167,56
柴田 大地,楽天,20,1,1,1,4,3.77,13,0.5,14.1
荘司 康誠,楽天,13,4,7,0,0,4.22,85,0.364,79
鈴木 翔天,楽天,25,0,3,0,13,5.73,24,0,22
宋 家豪,楽天,17,2,0,0,4,3.21,8,1,14
泰 勝利,楽天,3,0,0,0,0,0,5,0,3.1
瀧中 瞭太,楽天,10,4,2,0,0,1.65,40,0.667,54.2
田中 千晴,楽天,15,0,2,1,4,3.46,18,0,13
津留﨑 大成,楽天,17,0,0,0,0,3.06,18,0,17.2
中込 陽翔,楽天,7,1,1,0,1,9,5,0.5,7
西垣 雅矢,楽天,29,3,3,0,12,5.55,26,0.5,24.1
早川 隆久,楽天,10,3,3,0,0,2.28,70,0.5,67
日當 直喜,楽天,1,0,0,0,0,0,1,0,1
藤井 聖,楽天,8,1,3,0,0,3.69,25,0.25,39
藤平 尚真,楽天,26,0,1,13,5,2.49,32,0,25.1
藤原 聡大,楽天,9,0,2,0,0,5.79,16,0,18.2
前田 健太,楽天,7,1,3,0,0,3.52,26,0.25,30.2
渡辺 翔太,楽天,6,0,0,0,0,10.5,2,0,6
青山 美夏人,西武,2,0,0,0,0,9,2,0,2
糸川 亮太,西武,9,0,1,0,2,6.17,6,0,11.2
岩城 颯空,西武,26,1,1,18,3,4.15,28,0.5,26
ウィンゲンター,西武,7,0,0,0,7,0,8,0,6.1
上田 大河,西武,10,2,1,0,3,0.84,11,0.667,10.2
甲斐野 央,西武,31,2,2,6,18,2.2,32,0.5,28.2
黒田 将矢,西武,20,2,0,0,7,2.12,14,1,17
佐藤 隼輔,西武,17,2,1,1,7,5.79,8,0.667,14
佐藤 爽,西武,4,1,0,0,0,3,16,1,21
篠原 響,西武,25,1,1,1,20,1.11,29,0.5,24.1
菅井 信也,西武,7,2,2,0,0,3.05,20,0.5,38.1
隅田 知一郎,西武,12,6,4,0,0,2.3,87,0.6,90
平良 海馬,西武,12,5,2,0,0,1.05,71,0.714,77
髙橋 光成,西武,12,7,3,0,0,1.36,69,0.7,86.1
武内 夏暉,西武,11,5,3,0,0,2.62,60,0.625,68.2
中村 祐太,西武,10,0,0,0,2,2.25,13,0,12
成田 晴風,西武,1,0,0,0,0,9,0,0,1
羽田 慎之介,西武,8,1,1,0,2,7.56,10,0.5,8.1
浜屋 将太,西武,21,0,1,0,4,2.12,13,0,17
冨士 大和,西武,2,0,0,0,0,22.5,3,0,2
堀越 啓太,西武,2,0,0,0,0,4.5,1,0,2
豆田 泰志,西武,9,0,0,1,2,4.32,6,0,8.1
Ｅ．ラミレス,西武,4,1,1,0,1,4.5,2,0.5,4
ワイナンス,西武,6,2,2,0,0,3.12,31,0.5,34.2
渡邉 勇太朗,西武,12,4,4,0,0,3.18,53,0.5,79.1
阿部 翔太,オリックス,2,0,0,0,0,33.75,1,0,1.1
入山 海斗,オリックス,25,1,0,0,1,2.91,16,1,21.2
岩嵜 翔,オリックス,8,0,0,0,1,2.35,7,0,7.2
エスピノーザ,オリックス,12,6,3,0,0,2.49,71,0.667,76
片山 楽生,オリックス,12,0,0,0,0,1.5,15,0,18
川瀬 堅斗,オリックス,5,0,0,0,0,3.38,4,0,8
九里 亜蓮,オリックス,14,6,5,0,0,3.07,88,0.545,88
古田島 成龍,オリックス,6,0,0,0,3,7.2,4,0,5
権田 琉成,オリックス,12,1,0,0,1,2.13,13,1,12.2
才木 海翔,オリックス,1,0,0,0,0,18,1,0,1
佐藤 一磨,オリックス,4,0,0,0,0,3,2,0,6
ジェリー,オリックス,12,3,4,0,0,2.08,54,0.429,65
曽谷 龍平,オリックス,8,4,3,0,0,3.08,45,0.571,49.2
髙島 泰都,オリックス,11,3,1,0,1,3.71,37,0.75,43.2
髙谷 舟,オリックス,1,0,0,0,0,45,1,0,1
田嶋 大樹,オリックス,8,2,3,0,0,5.97,22,0.4,34.2
寺西 成騎,オリックス,23,3,2,0,11,4.76,29,0.6,34
東松 快征,オリックス,5,0,0,0,0,9,4,0,4
平野 佳寿,オリックス,2,0,0,0,1,4.5,1,0,2
博志,オリックス,12,2,0,0,2,1,13,1,18
ペルドモ,オリックス,10,1,3,0,4,9.2,11,0.25,14.2
マチャド,オリックス,26,1,0,19,4,1.35,29,1,26.2
宮城 大弥,オリックス,3,1,1,0,0,4.05,17,0.5,13.1
宮國 凌空,オリックス,2,0,1,0,0,11.57,3,0,4.2
椋木 蓮,オリックス,27,1,2,1,21,2.42,21,0.333,26
山岡 泰輔,オリックス,1,0,0,0,0,27,0,0,0.2
山﨑 颯一郎,オリックス,28,1,3,0,11,2.48,31,0.25,29
山田 修義,オリックス,8,0,0,0,1,0,4,0,4.1
横山 楓,オリックス,7,1,1,0,2,3,11,0.5,6
吉田 輝星,オリックス,20,1,2,0,9,4.11,17,0.333,15.1
東妻 勇輔,ロッテ,1,0,0,0,0,9,0,0,2
小島 和哉,ロッテ,9,2,4,0,0,3,40,0.333,51
小野 郁,ロッテ,17,2,0,0,6,1.8,17,1,20
カスティーヨ,ロッテ,2,0,0,0,0,4.5,2,0,2
唐川 侑己,ロッテ,1,0,1,0,0,7.2,4,0,5
河村 説人,ロッテ,2,0,1,0,0,5.73,9,0,11
菊地 吏玖,ロッテ,2,0,0,0,0,6,0,0,3
木村 優人,ロッテ,3,0,1,0,0,5.63,11,0,16
坂本 光士郎,ロッテ,12,2,1,0,3,3.29,16,0.667,13.2
澤田 圭佑,ロッテ,26,2,1,0,13,1.78,21,0.667,25.1
ジャクソン,ロッテ,13,5,5,0,0,3.28,76,0.5,79.2
鈴木 昭汰,ロッテ,28,5,0,1,21,3.04,29,1,26.2
高野 脩汰,ロッテ,22,1,3,0,5,3.96,25,0.25,25
田中 晴也,ロッテ,10,1,5,0,0,4.83,41,0.167,50.1
種市 篤暉,ロッテ,2,0,0,0,0,0,7,0,7.2
中森 俊介,ロッテ,17,1,0,1,10,0.53,13,1,17
西野 勇士,ロッテ,6,1,2,0,0,4.41,18,0.333,34.2
廣池 康志郎,ロッテ,11,2,3,0,0,3.3,42,0.4,60
廣畑 敦也,ロッテ,4,0,0,0,0,9,3,0,8
益田 直也,ロッテ,18,1,0,0,1,4.26,14,1,19
宮﨑 颯,ロッテ,4,0,0,0,0,7.2,4,0,5
毛利 海大,ロッテ,10,2,3,0,0,5.25,31,0.4,48
八木 彬,ロッテ,22,7,0,0,11,1.44,19,1,31.1
横山 陸人,ロッテ,33,0,1,24,6,1.36,24,0,33
ロング,ロッテ,18,0,2,0,7,3.98,22,0,31.2
